filename,situp_position,center,lshoulder_lelbow,rshoulder_relbow,lelbow_lwrist,relbow_rwrist,lhip_lknee,rhip_rknee,lknee_lankle,rknee_rankle,lshoulder_lwrist,rshoulder_rwrist,lhip_lankle,rhip_rankle,lhip_lwrist,rhip_rwrist,lshoulder_lankle,rshoulder_rankle,lelbow_relbow,lknee_rknee,lwrist_rwrist,lankle_rankle,lshouder_lheel,rshoulder_rheel,lshoulder_lknee,rshoulder_rknee,lwrist_lfootindex,rwrist_rfootindex,agl_lshoulder_lelbow_lwrist,agl_rshoulder_relbow_rwrist,agl_lshoulder_lhip_lknee,agl_rshoulder_rhip_rknee,agl_lhip_lknee_lankle,agl_rhip_rknee_rankle,agl_lelbow_lshoulder_lhip,agl_relbow_rshoulder_rhip,agl_lelbow_lwrist_lindex1,agl_relbow_rwrist_rindex1
1.png,situp_down,40.404814598132575,15.925676917687623,20.382896863634425,9.458072808628199,22.68490532339541,29.33393253684999,35.79293324637641,29.00935363182493,32.310496287572974,11.880354846846675,14.946875968731486,38.74904939134407,39.53567005712118,48.878394151273916,53.25716952960714,74.58917608285296,81.93555987118559,87.63161663256277,50.405649544543664,62.914903859610455,54.401230914749846,73.41483562388835,79.98549818786339,65.03743061041827,72.81362569519027,95.39355661477379,108.79533010194226,49.08574477333854,99.7718502571193,141.55059773698483,140.7203062468346,83.68834196173187,73.98245158275854,79.67821211981023,106.74255276700116,150.84920370399152,127.11545475327915
10.png,situp_down,40.140406904505745,20.961901886628613,22.963883397750443,37.91504830766609,12.091756358449615,31.62618124536685,29.378648684003487,26.763792259205346,31.047719976188784,32.847083704264506,34.427560023486926,32.34189312728391,31.492159402050298,61.39613406802017,57.376754911740605,74.55967772913695,69.25883911195679,60.98252898291981,43.94288383694643,31.930317223185792,21.724787104699253,72.14914625874285,67.9104507012205,67.40145238435089,60.60213139967923,100.80156401170369,98.95848394105747,23.551297997309685,124.7724988915882,132.71160023958393,128.61536028724296,67.97491061763257,69.21131721805548,177.96898220207913,156.35904619791685,161.63453632262568,145.29939748037987
12.png,situp_down,57.013322116393525,27.108789243053895,24.111125956238883,26.93553423607713,34.96988193644002,44.10944785508727,43.19255992035772,40.99259174678765,40.82635890020565,53.89590039042505,27.91759849787785,65.64150500625651,56.00288959257385,105.94847738584916,85.5360364091983,120.19553641608402,114.0529879963842,70.42672553727101,30.571387771556854,59.76224487356465,26.326096666346913,121.08948557042955,113.62485680441269,93.57375095090077,94.85587993210223,187.8120483645066,158.3362162048456,165.94332024606385,35.57611863220513,131.16012939980004,127.48751378717321,91.31125444976361,76.19698374845746,161.21815283137477,159.6362971817061,176.26019942764123,152.5466365328113
2.png,situp_down,40.00032192854544,37.664842003729966,28.72775115691815,22.12508142301036,14.531334614664672,31.001195985196627,30.117829757428613,29.396695675721954,29.628948867956737,57.19748062474551,35.379810243026334,40.975080281484146,38.443785468868064,84.27395174203697,65.38948861042057,82.6106308314652,75.99493738323494,113.57288492191861,35.711082943688744,137.8716493729198,40.73045925147478,81.19648987483222,74.67013668412136,68.69228895240174,64.92273384639498,129.88368845516496,107.74957452627535,115.30876678361396,58.74329361368477,146.66401110328565,134.84816462704237,89.44435430129427,84.75500793730637,101.77891359830964,99.08783607835392,122.53795308381324,144.00193550686944
3.png,situp_down,40.00482686921269,17.380279451170697,23.767619239292575,33.21737008797976,15.65987857277254,29.27965161594502,26.456271269297226,28.4890445356698,24.52976959804579,29.180585926189504,14.286622883538195,34.79251776464629,32.63857835492243,58.136189002294024,47.38839100350565,76.7042308556523,69.56178035908037,69.5033710052789,40.234656301809025,22.932327716002117,26.392201977192812,74.01477162548025,67.543455066208,68.64486880533164,58.927142129831104,101.72896750552587,93.0595095551015,79.70869391041094,65.67543297008633,147.87299826662084,134.80505616342657,78.79613782568214,78.63749390735134,150.38531851326596,87.40569394559168,125.19871297839046,157.05613578586653
5.png,situp_down,40.01423510714466,22.216585390664402,14.71823899524817,19.110769272978242,39.57151356813696,24.79350845819003,31.996839865365825,25.94476939653506,31.593075299825177,34.374409895467565,42.5268300685855,35.88872098835066,31.489768089900238,68.10520918226467,63.30238381553215,71.20247998208359,74.45175386098705,74.29282205791961,56.59575606885218,50.8675774506435,48.89237590045212,72.23043615718417,74.19262254821089,55.20542743678695,64.7540209067112,100.79850259932086,100.55059200408989,70.47226648599559,61.71480965972809,131.88324784011846,122.35250267538746,87.34482182774829,60.6541611880985,106.12707395930546,114.22376005783723,157.98557578905235,168.8362786985124
6.png,situp_down,41.64816945096574,25.61854456204398,20.219804936961637,14.920452135126615,22.171806891008416,35.693901029012544,33.21702572238052,37.43396282380951,33.178497618918556,38.97740110972361,41.992810387039846,28.882423296592332,29.496063644114383,59.8754292713172,68.31453348248492,70.81495979342975,69.52230872197678,79.85638463408083,20.301691238957066,114.79896757927682,23.07604372587762,68.51544194061219,66.64673734633222,68.27193851925779,68.74514241174734,98.47929673201496,100.9134131642094,86.10742511957613,39.74300792073351,120.22676473786254,129.33545149696567,48.177999027397014,57.961183654219745,117.37335585142222,19.956260932347845,123.8789640102145,59.65970969219643
7.png,situp_down,40.8216553964087,23.017028529581,29.287075108159748,34.62454721997221,20.669886975654773,26.80701767489543,28.994848631476664,30.626939551545224,31.94852513976592,26.967727077211816,49.42449335670762,39.496076162342014,49.62399107079681,64.1500369452508,73.71765911893314,82.9554279174803,84.996491534665,65.46488047194134,32.999389302993286,46.96803933164668,26.24415509592387,83.65925646752846,86.57844381444845,63.05151627051387,57.959503806739676,111.83906452766962,135.31477534590547,6.4641377786128915,141.94904463645003,123.32694092391642,121.4630959931973,87.10987425298391,114.02840939731715,168.26045395851926,169.7494470972633,162.63189054510684,174.5375880889293
8.png,situp_down,41.27183000497095,21.317900996922116,34.775627746925245,40.91253487874632,19.06083321780033,27.98496909108554,29.683056881515352,28.19502165827838,32.87778921116828,34.74277352527847,52.565122669879145,37.61771884828846,39.59471901990365,69.60141573948242,79.06244009519811,80.57696731471822,78.81759608900335,72.1031875839733,39.50991941323394,47.829512359035505,23.53204581505063,79.46474109596535,78.54656628566546,65.49370568742847,61.69191493645469,115.56130258586408,129.69658751977659,11.12068472394791,100.98979506556982,132.36904365347846,131.69182731043813,84.03174796288822,82.25235958602057,167.19657447882818,162.36890847800674,171.06594285763313,131.9770256395544
9.png,situp_down,40.01423510714466,22.216585390664402,14.71823899524817,19.110769272978242,39.57151356813696,24.79350845819003,31.996839865365825,25.94476939653506,31.593075299825177,34.374409895467565,42.5268300685855,35.88872098835066,31.489768089900238,68.10520918226467,63.30238381553215,71.20247998208359,74.45175386098705,74.29282205791961,56.59575606885218,50.8675774506435,48.89237590045212,72.23043615718417,74.19262254821089,55.20542743678695,64.7540209067112,100.79850259932086,100.55059200408989,70.47226648599559,61.71480965972809,131.88324784011846,122.35250267538746,87.34482182774829,60.6541611880985,106.12707395930546,114.22376005783723,157.98557578905235,168.8362786985124
